name,rating,responses
Telford and Wrekin Borough Council,Amber,"Q1 - With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010? Yes/No
A1 – Menu requirements are agreed with individual schools/clients.
Q2 - How many vegan hot and cold meal options do you offer:
A2 – This is dependent on client request.
Q3 - In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered. 
A3 – N/A.
Q4 - In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options offered.
A4 – 3 or more depending on the specific requirements other clients.
Q5 - Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings?  Yes/No
A5 – No information held as we do not procure catering contracts.
Q6 - Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals?
A6 – Yes, especially within schools we cater for.
Q7 - If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food options offered.
A7 – We have reduced meat and added other protein alternatives. We offer vegan dishes on the menu and have meat free days."
Thurrock Council,Amber,"With regard to the Public Sector Equality Duty, does your decision-making
regarding the provision of food take into account the fact that veganism
is a protected characteristic for the purpose of the Equality Act 2010?
Yes

How many vegan hot and cold meal options do you offer:

In your own local authority canteen every day (if you have one)? 0, 1, 2,
3 or more. 4

Please also express this as a proportion of the overall number of options
offered.  Around 30%

In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more. We do
not provide external catering only to schools through the school meals
service.

Please also express this as a proportion of the overall number of options
offered.  N/A

Is a requirement for providing vegan hot and cold meal options included
within the catering procurement contracts you issue for other catering
provision for which you are responsible including schools, leisure
centres, care homes, libraries, and any other public buildings?  Yes – The
School Meal Service actively ensures that we provide a varied offer.

Has your organisation taken any action to reduce meat and dairy
consumption in order to meet environmental goals? Yes, the School Meal
service has the Silver Food for Life Award and has taken action to reduce
meat. The current menu is 71% meat free and plant-based dishes. 15% of
those are plant based, 6% of dishes are fish and 9% of dishes meat.

·        If yes, please detail what actions have been taken, e.g. 100% or
50% plant-based food options offered.

·        If no, do you have ambitions to take action in this area, eg
through setting meat reduction targets? Yes/no, if yes please detail what
ambitions you have set out. N/A

"
Wokingham Borough Council,Amber,"1. With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010?
Yes; Consideration of our duties under the Equality Act is embedded within our decision making process.

2. How many vegan hot and cold meal options do you offer?
We do not provide any hot or cold meals.

3. In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered.&#8239;
Not applicable.

4. In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered. &#8239;
We do not hold this information.

5. Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings?
The answer provided only applies to school sites using the School Meals and Kitchens traded service:
All menus are required to include a vegetarian option each day.
Menus do include vegan options and where there is not a specific vegan dish, jacket potatoes and salad are always available.
Menus supplied to the schools and parents/guardians clearly show which dishes are vegan.

6. Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals?
a) If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food options offered.
We have raised awareness of a vegan diet and its positive implications on climate change in the January issue of our climate emergency newsletter, in occasion of Veganuary 2023. Our newsletter is circulated to over 6000 subscribers. We plan for more articles on this topic to be published in future, as part of our engagement and behaviour change plans.

b) If no, do you have ambitions to take action in this area, eg through setting meat reduction targets? If yes please detail what ambitions you have set out.
We are investigating options, including looking into the work of the Plant-based treaty organisation."
Cambridgeshire County Council,Amber,"With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of
food take into account the fact that veganism is a protected characteristic for the purpose of the
Equality Act 2010? Yes/No
Yes
2
How many vegan hot and cold meal options do you offer:
We do not have in-house catering. We have externally provided catering at Council offices.
Café run by Bohemia provide a minimum of 2 vegan items each day consisting of either: sandwiches,
baguettes, salads, pastas' etc. This covers the New Shire Hall.
Also
Tennyson Lodge – Café Hot Pots - Day Centre Community Centre - offer Jacket & beans and salad –
There are 2 options.
And with any drink there is the option of having oat milk so they can have all drinks at the café.
In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express
this as a proportion of the overall number of options offered. 
We do not have in-house catering.
As above for externally provided catering in Council offices –
There are 2 vegan options for Bohemia Café. There are 4 non-vegan choices and 2 vegan options. That is
33% of the overall choices.
There are 2 choices Hot Pots at Tennyson Lodge Day Centre Community Centre. There are 15 choices of
food on the menu and two of those are vegan. That is 13% of the overall choices.
In both cases there are a 100% vegan options for drinks.
In external events catering (if applicable)? E.g.: 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options offered.  
Not Applicable
Is a requirement for providing vegan hot and cold meal options included within the catering
procurement contracts you issue for other catering provision for which you are responsible including
schools, leisure centres, care homes, libraries, and any other public buildings?  Yes/No
No
We do not handle any catering contracts for schools, leisure centres, care homes, libraries, and any
other public buildings. The maintained schools are classed as independent procurement entities and so
handle their own purchasing. Usually, they use ESPO frameworks for these.
This website gives some more context on purchasing for schools:
https://www.gov.uk/guidance/buying-for-schools
3
Has your organisation taken any action to reduce meat and dairy consumption in order to meet
environmental goals?
·        If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food options
offered.
We have set ambitions for local, sustainable food, please see link to our website below:
Sustainable Food and Shopping - Cambridgeshire County Council
·        If no, do you have ambitions to take action in this area, e.g. through setting meat reduction
targets? Yes/no, if yes please detail what ambitions you have set out.
We have set ambitions for local, sustainable food, please see link to our website below:
Sustainable Food and Shopping - Cambridgeshire County Council"
Derbyshire County Council,Amber,"With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010? Yes/No  

Yes (Derbyshire Catering Service)

How many vegan hot and cold meal options do you offer: 

Daily vegan menus are available on request.  

In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered.  

We don’t have a canteen therefore not applicable. 

In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.  

Not applicable

Please also express this as a proportion of the overall number of options offered.

 Not applicable

Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings?  Yes/No  

 The specification for the catering provision is the responsibility of the school/academy and therefore varies with each contract. Derbyshire Catering Service procure food/ingredients that facilitate the provision of all menus served. 

Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals?

All of our menus are written to meet the School Food Standards and accredited to either bronze or silver ‘Food for Life Served Here’ accreditation.  Both standards have clear guidance criteria regarding the foods to be served and these are robustly adhered to. 
"
Devon County Council,Amber,"With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010? Yes/No
Yes
How many vegan hot and cold meal options do you offer:

This will vary by venue/school but South West Norse (our Joint Venture Partner who run our staff Café in Lucombe House and provide school meals to a number of Devon Schools) will take into consideration customer choice and all dietary requirements.
In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered. 

We have 1 staff canteen based in Lucombe House, County Hall, Exeter who provide 6 x cold vegan options, 0 x hot = 12.5 % of the Café menu is vegan suitable per day (5 days per week).
In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options offered.

8 x cold vegan options 0 x hot = 44.4 % of the buffet menu is vegan suitable
Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings?  Yes/No

Yes
Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals?

No
·        If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food options offered.

·        If no, do you have ambitions to take action in this area, eg through setting meat reduction targets? Yes/no, if yes please detail what ambitions you have set out.

Where possible South West Norse (our Joint Venture Partner who run our staff Café in Lucombe House and provide school meals to a number of Devon Schools) provide locally sourced products to counter food miles, working hard with suppliers to ensure sustainability. South West Norse provide a broad choice of products that takes into consideration customer choice and all dietary requirements."
East Sussex County Council,Amber,"With regard to the Public Sector Equality Duty, does your decisionmaking regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010?
Yes
How many vegan hot and cold meal options do you offer? The number of options available vary; detailed in next question
In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered. 
The cafe at County Hall offers a “Grab & Go” service with a varying number of options each day as well as bespoke sandwiches, baguettes and rolls. Out of these options there are at least one pre-prepared vegan option, along with various vegan ingredients to enable staff to choose their fillings.
In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered.
N/A - no catering is provided for external events
Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings?
Yes
Has your organisation taken any action to reduce meat and dairy
consumption in order to meet environmental goals?
·        If yes, please detail what actions have been taken, e.g. 100% or
50% plant-based food options offered.
·        If no, do you have ambitions to take action in this area, eg
through setting meat reduction targets? Yes/no, if yes please detail
what ambitions you have set out.
No specific decision was made to reduce meat and dairy
consumption.
East Sussex County Council are unable to quantify a
percentage reduction in dairy and meat. However, we ensure
that a variety of options are always available. These include
vegan, vegetarian and non-dairy items. "
Hampshire County Council,Amber,"1. Yes, the above is taken into consideration.

2. a) Castle Catering - Staff restaurants offer between 2-3 hot vegan optiopns per week. Customers are also able to request alternative vegan choices by pre-ordering. There are various cold vegan options always available for customers.

Countryside Service - Menus vary across the country parks with vegan options being readily available. For example: 8 out of 24 cooked menu items at Royal Victoria Country Park are plant based (33%). Additionally, vegan cake, ice creams, cooked pasties and pre-packed sandwiches are also on offer.

b) Hampshire County Council does not provide catering to external events.

3. Yes, Hampshire county council does have a requirement for providing these options.

4. a) Castle Catering - Our HC3S primary school standard menu offers non-meat meal options daily, including vegan choices available twice a week. Vegan menus are available for children who require it.

Countryside Services - In addition to increasing plant-based options overall, Hampshire County Council initiatives have included repositioning vegan menu items to feature more prominently on menus. Countryside Services also recently partnered with Southampton University to evaluate the impact of adding carbon labelling to menu items. Research was conducted at Royal Victoria Country Park, Sir Harold Hillier Gardens and E11 food court, the results of this Carbon Labelling Pilot Study are being analysed.

b) Countryside services are aiming to maintain or reduce all red meat food items to below 6% of all menu items sold in country parks with an aim to increase the overall number of plant-based options available."
Hertfordshire County Council,Amber,"Hertfordshire County Council outsource the provision of catering to Hertfordshire Catering Ltd who currently provide the main office sites of Stevenage, Hertford and Apsley.
Hertfordshire County Council takes into consideration all dietary needs including those who practice a vegan diet.
Of the food/meals that Hertfordshire Catering Ltd provide HCC, approximately 25% of them are suitable for vegans.
Hertfordshire County Council do not provide catering services and it is the decision of the individual schools, care homes etc which provider they choose.
Hertfordshire County Council has not taken any decisions to reduce the meat and dairy consumption of staff other than to ensure that alternative meals are available. Hertfordshire County Council continues to
evaluate options with the aim of sustainability of the environment."
Lancashire County Council,Amber,"With regard to the Public Sector Equality Duty, does your decision-making regarding the
provision of food take into account the fact that veganism is a protected
characteristic for the purpose of the Equality Act 2010?

Yes, the authority provides a range of food choices which are commensurate
with lifestyle, cultural, religious and medically diagnosed dietary
requirements

Yes/No How many vegan hot and cold meal options do you offer: In your own
local authority canteen every day (if you have one)? 0, 1, 2, 3 or more.

*Please note we are not able to provide an accurate figure for the
question above. By way of explanation the figure would differ across 550
schools and other establishments, who utilise the authorities catering
services and to obtain an accurate figure it would require the relevant
service to contact the individual establishments to ascertain any relevant
information.

However we can confirm at least one daily vegan choice is available to
Lancashire schools who utilise the authorities catering service.

To provide an accurate figure would incur a commitment of resources in
excess of the limit of £450 set by the Freedom of Information and Data
Protection (Appropriate Limit and Fees) Regulations 2004 (SI No. 3244 of
2004), which equates to 18 hours of work. Section 12(1) of the Freedom of
Information Act provides that a public authority is not obliged to comply
with a request where to do so would exceed such a limit.

Due to the way in which it is recorded, it is difficult to suggest a way
in which your request can be refined to bring it within the appropriate
limit whilst still yielding meaningful results.  However, if you wish to
resubmit a revised request we shall, of course, consider it and ascertain
whether it is possible to collate any relevant information within the
limit

Please also express this as a proportion of the overall number of options
offered. In external events catering (if applicable)? Eg: 0, 1, 2, 3 or
more.

Not applicable, the authority does not provide a catering service to
external catering events

Please also express this as a proportion of the overall number of options
offered.  

*Please see the response above

Is a requirement for providing vegan hot and cold meal options included
within the catering procurement contracts you issue for other catering
provision for which you are responsible including schools, leisure
centres, care homes, libraries, and any other public buildings?  Yes/No

Not applicable

Has your organisation taken any action to reduce meat and dairy
consumption in order to meet environmental goals?

Yes

If yes, please detail what actions have been taken, e.g. 100% or 50%
plant-based food options offered.

The authority school catering service, which is largest provider of meals
within the authority, has reduced the availability of meat based choices
by 20% across published menu ranges
 If no, do you have ambitions to take action in this area, eg through
setting meat reduction targets? Yes/no, if yes please detail what
ambitions you have set out.


Not applicable"
Warwickshire County Council,Amber,"1. With regard to the Public Sector Equality Duty, does your decision-making
regarding the provision of food take into account the fact that veganism is a
protected characteristic for the purpose of the Equality Act 2010?
With regard to the Public Sector Equality Duty and protected characteristics - we would
take Veganism into account as part of our decision-making. We completed an initial
equality impact assessment of our Warwickshire Food Strategy 2023-2026 and
Veganism was included as a consideration within the assessment.
2. How many vegan hot and cold meal options do you offer:
a) in your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or
more. Please also express this as a proportion of the overall number of options
offered.
b) in external events catering (if applicable)? Eg: 0, 1, 2, 3 or more. Please also
express this as a proportion of the overall number of options offered.
Warwickshire County Council does not have dedicated canteen services. For external
events we would seek to provide Vegan options and would always request dietary
needs and preferences from delegates.
3. Is it a requirement for providing vegan hot and cold meal options included
within the catering procurement contracts you issue for other catering provision
for which you are responsible including schools, leisure centres, care homes,
libraries, and any other public buildings?
Please be advised that this information is not held. Please find more details below:
Schools:
This information is not held by Warwickshire County Council. This is because it would
be held by Educaterers Ltd, who are wholly responsible for catering in Warwickshire
County Council schools. For this information, we advise that you should contact
Educaterers directly.
Contact details for Educaterers can be found on their website at the link below:
https://educaterers.co.uk/contact-us
Leisure centres:
this information is not held by Warwickshire County Council. This is because leisure
centres fall under the responsibility of the District and Borough councils.
For this information you will need to contact the relevant District and Borough Councils
directly.
Contact details for these councils are available via their respective websites:
Warwick District Council -
http://www.warwickdc.gov.uk/info/20595/the_council_warwick_dc/667/contact_us
Stratford-upon-Avon District Council -
https://www.stratford.gov.uk/council-democracy/freedom-of-information.cfm
Rugby Borough Council -
https://www.rugby.gov.uk/info/20030/information_and_data/108/freedom_of_information
Nuneaton & Bedworth Borough Council -
https://www.nuneatonandbedworth.gov.uk/info/21004/access_to_information/93/freedo
m_of_information_act
North Warwickshire Borough Council -
http://www.northwarks.gov.uk/info/200162/data_protection_freedom_of_information_etc
/131/freedom_of_information_act-foi
Care homes:
This information is not held by Warwickshire County Council, as Warwickshire County
Council does not have any of its own care homes.
Libraries and other public building for which Warwickshire County Council is
responsible:
This information is not held by Warwickshire County Council, as we do not have
dedicated canteen services.
4. Has your organisation taken any action to reduce meat and dairy consumption
in order to meet environmental goals?
a) If yes, please detail what actions have been taken, e.g. 100% or 50% plantbased
food options offered.
b) If no, do you have ambitions to take action in this area, eg through setting meat
reduction targets? Yes/no,
(i)if yes please detail what ambitions you have set out.
No specific actions have been taken with regard to targets to reduce meat consumption.
We do have ambitions to contribute to the reduction of food and food related waste and
greenhouse gases through our newly launched Warwickshire Food Strategy 2023 -
2026. This strategy contains actions to promote better education and choice across the
public of Warwickshire about healthy, affordable and accessible food choices. It also
contains actions to promote food sustainability. The work we are planning under these
priorities will undoubtedly include giving advice about healthy alternatives to meat and
dairy products.
"
Newport City Council (Cyngor Dinas Casnewydd),Amber,"With regard to the Public Sector Equality Duty, does your decision-making
regarding the provision of food take into account the fact that veganism
is a protected characteristic for the purpose of the Equality Act 2010?

Yes

 

How many vegan hot and cold meal options do you offer:

In your own local authority canteen every day (if you have one)? 0, 1, 2,
3 or more. Please also express this as a proportion of the overall number
of options offered. 

We do not have a staff canteen

 

In external events catering (if applicable)? Eg: 0, 1, 2,3 or more. 
Please also express this as a proportion of the overall number of options
offered.  

For external events, as we do not have our own internal catering unit, we
will use the catering facilities available to us.  Normally we only offer
tea, coffee, etc if we must and this will include a vegan milk such as
soya as an alternative.  If buffets are required, then the dietary needs
of the attendees are requested prior to the event.  Unfortunately, we do
not have any data with regards to numbers of options.

 

Is a requirement for providing vegan hot and cold meal options included
within the catering procurement contracts you issue for other catering
provision for which you are responsible including schools, leisure
centres, care homes, libraries, and any other public buildings?  

With regards to schools’, there is a catering contract with Chartwells. A
vegetarian option is available each day to pupils and there is one
plant-based day a week, however none of the meals are marked as being
vegan. Pupils who are vegan inform the caterer of their requirement for
vegan meals and their details are kept on record to ensure that they
receive vegan appropriate food.

 

Catering in Leisure Centres is the responsibility of Newport Live. They
can be contacted via this [1]link

 

Each individual adult care home is responsible for its own catering
arrangements.  Here is a [2]list of the homes and their contact details

 

The food in children’s residential homes are set with the children each
week- so a weekly food planner is designed- staff and young people cook
the food.  So young people who are vegan would have a vegan diet and
others as per religious/dietary or personal preference.  We run our
children’s homes like family homes and so do not have targets about what
they do/do not consume or contracts with catering companies.

 

There are no catering facilities in any other Council buildings

 

Has your organisation taken any action to reduce meat and dairy
consumption in order to meet environmental goals?

·        If yes, please detail what actions have been taken, e.g. 100% or
50% plant-based food options offered.

·        If no, do you have ambitions to take action in this area, eg
through setting meat reduction targets? Yes/no, if yes please detail what
ambitions you have set out.

The school meal catering contract with Chartwells has a plant-based day
only for primaries and the rest of the week there is a plant-based
option.  Throughout the life of the contract, it is expected that there
will be 2 plant-based days per week and an emphasis at least 50% of the
menu on the remaining days being plant based."
City and County of Swansea (Cyngor Sir a Dinas Abertawe),Amber,"1.	Yes.

2.	We offer vegan hot and cold meal options on request.

3.	N/A

4.	N/A

5.	Yes.

6.	Yes. Our daily menu for primary schools has a vegetarian option within the two choices offered to all.
"
Cheshire East Council,Amber,"Cheshire East Council’s employment policy follows the definition of protected characteristics found in the
Equality Act 2010:
Protected Characteristics - It is unlawful to discriminate directly or indirectly in recruitment or employment
because of age, disability, gender reassignment, marital or civil partner status, pregnancy or maternity,
race, religion or belief, sex or sexual orientation.
Cheshire East Council offers a plant-based option on school lunch menus, amends current dishes to
make them vegan and will always accommodate a special diet whether it be for medical reasons or based
on a belief. The Council does not have a canteen or provide catering to external events Not specifically in relation to meat and dairy consumption. However, the Council is committed to
using its influence within the borough to reduce carbon and improve sustainability. Several
initiatives are already underway to engage and empower the community to improve the carbon
footprint of their activities and understand the scale of the challenge we face. In addition, the
Council’s priority actions are set out in our Environment Strategy, which addresses how we will
respond to the global challenge of climate change and how the natural environment of Cheshire
East will be enhanced and protected."
Bexley,Amber,"With regard to the Public Sector Equality Duty, does your decision-making regarding the
provision of food take into account the fact that veganism is a protected characteristic for the
purpose of the Equality Act 2010?
Yes
How many vegan hot and cold meal options do you offer:
In your own local authority canteen every day (if you have one)?
At least 2 options daily, but sometimes more depending on the daily menu.
In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options offered.
Information not held, as external event catering will ask for dietary requirements and arranged directly
with the area holding event.
Is a requirement for providing vegan hot and cold meal options included within the catering
procurement contracts you issue for other catering provision for which you are responsible
including schools, leisure centres, care homes, libraries, and any other public buildings?
Information not held.
Has your organisation taken any action to reduce meat and dairy consumption in order to meet
environmental goals?
If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food options
offered.
If no, do you have ambitions to take action in this area, eg through setting meat reduction targets?
Yes/no, if yes please detail what ambitions you have set out.
Information not held."
Tameside Borough Council,Amber,"1. With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010? Yes/No
Yes.
2. How many vegan hot and cold meal options do you offer:
We only procure catering for schools - 2 vegetarian options are offered as standard each day of which some are vegan by default. Upon request of vegan meals, both a hot and cold option are offered daily.
3. In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered. 
We do not have a canteen.
4. In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options offered.
Not applicable.
5. Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings?  Yes/No
Yes.
6. Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals?
Not at present.
a.    If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food options offered.
Not applicable.
b.    If no, do you have ambitions to take action in this area, eg through setting meat
reduction targets? Yes/no, if yes please detail what ambitions you have set out.
It will dependent on requests from the schools who take the service. "
Harrow,Amber,"With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010? Yes/No
No
How many vegan hot and cold meal options do you offer:
In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered. 
We offer the same options for all meal types, we serve foods that can have multiple toppings on them, it’s a grab and go service. (Jacket Potatoes/loaded fries/pasta  pots/sandwiches/panini’s, etc.
There are around 6 options for breakfast and 8 for lunchtimes, as well as snack items.
In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options offered.  
N/A
Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible
including schools, leisure centres, care homes, libraries, and any other public buildings?  Yes/No
Yes
Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals?
2
·        If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food options offered.
Yes, on the meat side but not on the dairy as we have a coffee shop as part of the restaurant options.
·        If no, do you have ambitions to take action in this area, eg through setting meat reduction targets? Yes/no, if yes please detail what ambitions you have set out.
We have reduced the amount of meat that we use, we offer similar meals/options that you can add to if you want meat/veg and vegan options’ – For example: loaded fries which can
have what ever topping you want from the menu,(some of the fillings are as follows: beef chilli, 5 bean chilli (vegan option) as well as the more traditional fillings like baked beans, cheese, coleslaw."
Cheshire West and Chester Council,Amber,"With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010? Yes/No

RESPONSE: No, we have no catering contracts.
Leisure centres - Food offers are put together to fit required demand.

How many vegan hot and cold meal options do you offer:
RESPONSE: Leisure centres - 7

In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered.
RESPONSE: Cheshire West and Chester Council does not have a local authority canteen. Cow’s milk is offered in our offices for making hot drinks, there is no alternative/vegan option at the moment. This is something we are looking at in the sustainable food options paper to reduce our dairy consumption and carbon footprint.

Leisure Centres - We cannot show this as a proportion of our whole menu as it wouldn’t be an accurate reflection. Broken down into categories instead.
Paninis 2/11
Jacket Potatoes 2/9
Toasties 2/10
Hot Meals 2/7
Others 3/6

In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options offered.  

RESPONSE: This information isn’t currently recorded. The Majority of the catering for events occur on a case-by-case basis. Our largest external event, the Lord Mayor’s Banquet, works by attendees pre-ordering their food but there is always a minimum of one vegan option for each course. Keeping a record of how many vegan and vegetarian options we provide at events has been discussed as a way of measuring our sustainable impact for the sustainable food procurement policy that we are formulating at the moment.
Leisure centres - External catering is requested by the hirer. If they require vegan options, this will be discussed at point of booking and options offered. Each package we offer can be adapted to make it vegan friendly.

Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings?  Yes/No

RESPONSE: No - The Council holds no catering contracts.
Leisure centres - dependant on the service specification at tender stage for the contract

Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals?
·        If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food options offered.
·        If no, do you have ambitions to take action in this area, eg through setting meat reduction targets? Yes/no, if yes please detail what ambitions you have set out.

RESPONSE: The Council is preparing a sustainable food options paper to take to Climate Governance Board. The proposal is to create a policy or set of guidelines that colleagues can use when procuring food for events. The policy will support colleagues to provide catering that is more sustainable by offering more vegan options, ensuring local food is prioritised, and meeting other important Food for Life standards such as animal welfare. These actions will appear in our sustainable food options paper. The Climate Governance Board will have the decision of which options to pursue. The Council is committed to reducing our carbon footprint as a Council, and part of that will include promoting plant-based diets and meat reduction. Our sustainable food options paper will explore the different ways to make our food provision more sustainable, and the Climate Governance board will decide which targets we set to reduce our meat consumption and carbon footprint. The options paper will also encourage local food procurement and meet other important standards like animal welfare.
Schools meals provision - offer all schools a meat free day every week.
Leisure centres - No, although we will caterer for vegans and work hard to increase our vegan range, whilst promoting the benefits of a vegan diet, it is a personal choice and we have a responsibility to caterer for all people within our community. If we remove meat options, we risk isolating people sending them elsewhere where food may not be put together as responsibility sourced as us. We only use meat/dairy with traceability. I.e. freedom food, red tractor and RSPCA assurance."
Kent County Council,Amber,"1. With regard to the Public Sector Equality Duty, does your
decision-making regarding the provision of food take into account the fact
that veganism is a protected characteristic for the purpose of the
Equality Act 2010?

Yes. A vegan diet is available in schools that choose to join the school
catering framework for their school meal provision.

2. How many vegan hot and cold meal options do you offer:

a. In your own local authority canteen every day (if you have one)? 0, 1,
2, 3 or more. Please also express this as a proportion of the overall
number of options offered. 

KCC do not currently provide a local authority canteen.

b. In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.

KCC do not provide this as a corporate service through our supply chain.

3. Is a requirement for providing vegan hot and cold meal options included
within the catering procurement contracts you issue for other catering
provision for which you are responsible including schools, leisure
centres, care homes, libraries, and any other public buildings?  

Yes, within our school catering framework, the suppliers offer a range of
dishes for pupils and staff, including vegan options.

4. Has your organisation taken any action to reduce meat and dairy
consumption in order to meet environmental goals?

Our school catering framework suppliers are required to follow HM
government School Food Standards in their menus.

Elements of these include the requirement to offer meat or poultry three
or more days per week and a daily portion of milk and dairy. 

[1]School food standards: resources for schools - GOV.UK (www.gov.uk)

• If yes, please detail what actions have been taken, e.g. 100% or 50%
plant-based food options offered.

Pupils and staff choose. Non-meat options are available daily.

• If no, do you have ambitions to take action in this area, eg through
setting meat reduction targets?"
Leicestershire County Council,Amber,"1. With regard to the Public Sector Equality Duty, does your decision-making regarding
the provision of food take into account the fact that veganism is a protected characteristic
for the purpose of the Equality Act 2010? Yes/No
No. Our provision of vegan food is because our staff have requested vegan options
on the menu.
2. How many vegan hot and cold meal options do you offer:
a. In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options offered. 
1 out of 2 meals every day is vegetarian or vegan.
b. In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more. Please also express
this as a proportion of the overall number of options offered.  
50%.
3. Is a requirement for providing vegan hot and cold meal options included within the
catering procurement contracts you issue for other catering provision for which you are
responsible including schools, leisure centres, care homes, libraries, and any other public
buildings?
We do not hold this information.
4. Has your organisation taken any action to reduce meat and dairy consumption in order
to meet environmental goals?
No
· If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food
options offered.
· If no, do you have ambitions to take action in this area, eg through setting meat reduction
targets? Yes/no, if yes please detail what ambitions you have set out.
We continue to monitor and reassess our offer and have significantly increased
the amount of vegan food on our menus over the past couple of years."
